classes	fitness	bias_r	bias_z	bias_h	weight_xr	weight_xz	weight_xh	weight_hr	weight_hz	weight_hh	bias_rw	conn0	conn1	conn2
PN	1.0	3.0	-0.16196	-1.67358	-0.51285	-0.2057	-1.19285	0.45706	-3.43587	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-0.17812	-0.16012	-1.19939	-4.65541	-3.77919	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.14895	-1.67358	-0.119	-0.2057	-1.19939	-2.37972	-3.60638	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.14895	-1.67358	-2.23648	-0.2057	-1.19939	-4.52256	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-0.41995	-0.2057	-1.19285	-4.22151	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-0.17812	-0.02214	-1.19939	-4.51124	-3.77919	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-0.51285	-0.2057	-1.19285	-4.22151	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.14895	-1.67358	-3.42097	-0.2057	-1.19939	-4.87207	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.95852
PN	1.0	2.89252	-0.16196	-1.67358	-1.77733	-0.16012	-1.19939	-4.37214	-3.62755	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.14895	-1.67358	-0.119	-0.36229	-1.19939	-2.37972	-3.60638	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.18938	-0.28982	-1.19939	-4.34928	-3.63799	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.18938	-0.28982	-1.19939	-4.37214	-3.63476	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.14895	-1.67358	-0.119	-0.32969	-1.19939	-2.37972	-3.60638	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89527	-0.14895	-1.67358	-0.119	-0.2057	-1.19939	-2.37972	-3.60638	-2.19998	-2.5082	3.37817	-6.0	-3.96341
